action,keywords,parent,description,title,application_type
custom_rgroup_enum_gui.panel,"fragment, enumeration, library, interactive enumeration, r group, rgroup, r-group",,"Add custom or standard fragment collections to selected positions on a core-containing structure, and enumerate the structures resulting from all possible combinations of fragments at each position.<br/>Opens the Custom R-Group Enumeration panel.",R-Group Enumeration...,Enumeration and Ideation
customize_menu,,,"Customize the menus in the main window. You can add, delete, or move items, menus, or submenus, and you can assign shortcut keys and mnemonics. <br/>Opens the Customize Menus panel.",,
customize_mouse_actions,,,"Customize the actions performed in the Workspace by the mouse buttons or other pointing device, according to your hardware. Defaults are provided for several hardware configurations. <br/>Opens the Customize Mouse Actions panel.",,
customize_profiles,,,"Save the current Maestro configuration as a new custom profile, or delete or reset a custom profile. The configuration includes the menus, toolbars, preferences, mouse actions.<br/>Opens the Customize Profiles panel.",,
customize_toolbars,,,"Customize the toolbars in the main window, by adding, deleting, or moving buttons or toolbars.<br/>Opens the Customize Toolbars dialog box.",,
cysteine_mutation_gui.panel,,,"<!-- disulphide, protein stabilization -->
Identify residue mutations that can be carried out to create new cysteine disulfide bonds, or mutations that can break existing cysteine disulfides. Residue pairs that satisfy user-supplied filter criteria are scored using a combination of energy terms, and the best scoring mutations can be selected from an interactive results table.<br/>Opens the Cysteine Mutation panel.",,
data_fusion,"docking postprocessing, combine scores, Z-score",,,Data Fusion...,Receptor-Based Virtual Screening
data_fusion_gui.panel,,,"Screen molecules with Glide, Shape, and Fingerprint screening, and combine the results based on standard Z-scores to select the top compounds.<br/>Opens the Data Fusion panel.",,
deepchem_gui.panel,,,Use deep learning methods on large structure sets to generate and apply a QSAR model.<br/>Opens the DeepChem AutoQSAR panel.,DeepAutoQSAR...,Discovery Informatics and QSAR
defect_correction_gui.panel,,,Calculate the defect correction energy for the formation energy of a point defect using the zero defect correction and alignment term.<br/>Opens the Defect Correction Panel.,,
defect_setup_gui.panel,,,Create point defect structures from perfect crystal supercells and run defect calculations.<br/>Opens the Defect Setup Calculations Panel.,,
delta_hf_gui.panel,"QM, quantum mechanics, Jaguar",,Calculate the heats (enthalpies) of formation and the atomization energies of organic molecules in kcal/mol. The heats of formation are calculated from the atomization energies and the experimental heats of formation of the gaseous atoms from the elements.<br/>Opens the Heat of Formation panel.,Heat of Formation...,Quantum Mechanics
demo1,,,Play through a demonstration of some of the basic Maestro features.<br/>Opens the Maestro General Demo #1 panel.,,
density_profile_gui.panel,,,"Display a profile of the density along a selected axis, summed for atoms in slabs perpendicular to the axis, or a cross-section of the density perpendicular to the selected axis.<br/>Opens the Density Profile panel.",,
deposition_gui.panel,,,Deposit molecules on a substrate in successive additions with MD equilibration to build up a layer on the substrate.<br/>Opens the Molecular Deposition panel.,,
deposition_gui2.panel,,,Desposit molecules on a substrate in successive additions with MD equilibration to build up a layer on the substrate.<br/>Opens the Molecular Deposition Panel.,,
deselect_duplicate_titles,,,,Deselect Duplicate Titles,Project Table and Project Operations
deselect_duplicate_titles.run,,,"Remove entries from the Project Table selection that have identical titles, retaining only the first instance of each title.",,
desmond_constant_ph_molecular_dynamics,"pKa, protein pKa, constant ph, ph, molecular dynamics, MD",,,Constant pH Simulations...,FEP+
desmond_fep_free_energy,"free energy, Desmond, FEP+, FEP, free energy perturbations, solvation free energy",,,,
desmond_fep_protein_mutation,"free energy, Desmond, FEP+, FEP, free energy perturbations, protein FEP",,,Protein FEP for Ligand Selectivity...,Free Energy Perturbation
desmond_fep_protein_mutation_analysis,"free energy, Desmond, FEP+, FEP, free energy perturbations",,,,
desmond_fep_scanning,,fep_scanning_gui.panel,,,
desmond_metadynamics,"binding, free energy, Desmond, kinetics, unbinding",,,Metadynamics...,Classical Simulation
desmond_metadynamics_analysis,"free energy, Desmond",,,Metadynamics Analysis...,Classical Simulation
desmond_metadynamics_analysis_gui.panel,,,"<!-- desmond -->
Analyze the results of a metadynamics simulation.<br/>Opens the Metadynamics Analysis panel.",,
desmond_metadynamics_gui.panel,,,"<!-- desmond -->
Run a metadynamics simulation on one or more collective variables.<br/>Opens the Metadynamics panel.",,
desmond_minimization,Desmond,,,Minimization...,Desmond
desmond_minimization_gui.panel,,,"<!-- desmond, minimization -->
Set up and submit jobs that relax a system into a local energy minimum, using a Brownian motion simulation.<br/>Opens the Minimization panel.",,
desmond_molecular_dynamics,"Desmond, dynamics, GPU, molecular dynamics, MD, protein simulation",,,Molecular Dynamics...,Classical Simulation
desmond_molecular_dynamics_gui.panel,,,"<!-- desmond, MD -->
Run or restart general-purpose molecular dynamics simulations under a chosen set of conditions. Includes optional relaxation of the model system prior to performing the simulation.<br/>Opens the Molecular Dynamics panel.",,
desmond_multistage_simulation_gui.panel,,,"Set up a multistage molecular dynamics simulation workflow, consisting of an optional relaxation protocol and an arbitrary number of stages, chosen from minimization, Brownian dynamics, molecular dynamics, simulated annealing, and analysis. The results of each stage are fed into the next stage.<br>Opens the Multistage Simulation Workflow panel.",,
desmond_radial_distribution_function,"rdf, Desmond",,,,
desmond_replica_exchange_gui.panel,,,"<!-- desmond, REMD -->
Run temperature replica exchange molecular dynamics simulations. You can specify the number of replicas, the temperature range and the temprerature profile.<br/>Opens the Replica Exchange panel.",,
desmond_replica_exchange_review,"Desmond, replica exchange analysis",,,Replica Exchange Review...,Classical Simulation
desmond_simulated_annealing_gui.panel,,,"<!-- desmond, MD -->
Run a simulated annealing molecular dynamics simulation. You can specify the number of stages and the duration and temperature for each stage.<br/>Opens the Simulated Annealing panel.",,
desmond_simulation_interaction_diagram,"torsion, analysis, sid, Desmond, analyze MD, dynamics, interaction, molecular dynamics, MD, trajectory analysis",,,Simulation Interactions Diagram...,Classical Simulation
desmond_simulation_quality_analysis,"Desmond, analyze MD, MD quality",,,Simulation Quality Analysis...,Classical Simulation
desmond_trajectory_clustering,"Desmond, cluster trajectory, clustering, dynamics, molecular dynamics, MD",,,Desmond Trajectory Clustering...,Classical Simulation
desorption_enumeration_gui.panel,,,Build candidate geometries for all combinations of desorption of a set of molecules from a set of functionalized surfaces.<br/>Opens the Desorption Enumeration Panel.,,
diffusion_coefficient_gui.panel,,,"Calculate the diffusion coefficient for either a type of atom or a type of molecule from an MD trajectory. The trajectory can be generated for the calculation, or an existing trajectory can be used.<br/>Opens the Diffusion Coefficient panel.",,
diffusion_coefficient_gui.panel_ic,,,...<br/>Opens the Ionic Conductivity Panel.,,
diffusion_coefficient_viewer_gui.panel,,,Display values of diffusion coefficients and plots of the mean square distance (MSD) against simulation time difference. The fit of the MSD to obtain the diffusion coefficient can be adjusted.<br/>Opens the Diffusion Coefficient Viewer panel.,,
diffusion_coefficient_viewer_gui.panel_ic,,,...<br/>Opens the Ionic Conductivity Viewer Panel.,,
digitize_curves_gui.panel,,,Digitize curves from an image to produce coordinates of the curve.<br/>Opens the Digitize Curves panel.,,
disordered_system_builder_gui.panel,,,"Build a randomized multi-component organic mixture of a given composition, either on its own, or on a substrate. The substrate can be a crystal surface, the exterior of a nanoparticle, or the interior of a &quot;container&quot; such as a nanotube. The resulting structure can be prepared for molecular dynamics simulations.<br/>Opens the Disordered System Builder panel.",,
display_hydrophobic_interactions,"protein analysis, interaction, van der Waals interactions",,,Display Hydrophobic Interactions,Structure Analysis
display_hydrophobic_interactions.run,,,Display good contacts between hydrophobic atoms of a ligand and hydrophobic residues of a receptor in the Workspace.,,
display_tile_entries,,,Arrange the Workspace entries or surfaces in a rectangular grid of &quot;tiles&quot;. See the Tiling Entries help topic for more information.,,
displayatom,,,Select the atoms to display or undisplay in the Workspace.<br/>Opens the Display/Undisplay Atoms panel.,,
displayopt,,,"Set options for the Workspace appearance: background color, lighting and materials effects, 3D effects, and special screen effects. <br/>Opens the Appearance panel.",,
displaystereo,,,Turn stereo viewing on or off.,,
distribute_voids_gui.panel,,,Create voids in a system of multiple molecules by randomly deleting molecules. The molecules can be all-atom or coarse-grained.<br/>Opens the Distribute Voids panel,,
dos_viewer_gui.panel,periodic dft,,"<!-- qe -->
Plot the density of states from a periodic DFT calculation as a function of energy.<br/>Opens the Density of States Viewer panel.",,
drive,,,"Perform a coordinate scan of one or two coordinates of the same type (distance, angle, or dihedral) on specified structures, with optional constraints and minimization of the rest of the structure. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used. Use Tools &rarr; Plot Coordinate Scan to view the results.<br/>Opens the Coordinate Scan panel.",,
droplet_contact_analysis_gui.panel,,,Determine the contact angle of solvent droplets on a surface.<br/>Opens the Droplet Contact Analysis Panel.,,
droplet_contact_analysis_viewer_gui.panel,,,Plot the results of a droplet contact analysis calculation.<br/>Opens the Droplet Contact Analysis Viewer Panel.,,
ecalc,,,"<!-- MacroModel, MMOD -->
Calculate the force-field energy of a structure at its current geometry. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used.<br/>Opens the Current Energy panel.",,
